NBA on NBC (c) 1998 Midway - ANNOUNCER - TAKE SHOT (03/24/99 16:37:24) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: SCA_TAKE.BNK

Size of .BNK file including header: 519120 bytes ($7EBD0 bytes)

Size of playlist table: 600 bytes ($258 bytes)

Size of playlist and sound data only: 518386 bytes ($7E8F2 bytes)

Checksum: $AC25

Total number of playlists: 146 ($92)

Total number of sound files: 145 ($91)

Average bit rate for bank: 23.7 kbits/sec

Total linear amount of sound: 2:53.990 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  1    $0001   1       73.7    84.5  A Long two #2
  2    $0002   1       42.3    48.5  He shoots
  3    $0003   1       60.7    69.6  He launches one
  4    $0004   1       69.1    79.2  And he lets it fly
  5    $0005   1       54.4    62.4  Off the glass
  6    $0006   1       77.4    88.8  He launches the three
  7    $0007   1       53.2    61.0  _ For three
  8    $0008   1       72.0    82.6  _ With the fadeaway
  9    $0009   1       48.1    55.2  _ With the runner #2
  10   $000a   1       81.6    93.6  _ With the running one-hander (take)
  11   $000b   1       93.8   107.5  _ With the off-balance runner
  12   $000c   1       46.9    53.8  _ Lays it up
  13   $000d   1       52.3    60.0  He lays it up
  14   $000e   1       92.9   106.6  _ With the off-balance fadeaway
  15   $000f   1       58.6    67.2  _ With the fadeaway
  16   $0010   1       28.9    33.1  _ Fades (body leans back)
  17   $0011   1       34.3    39.4  _ Fires (actually shoots)
  18   $0012   1       82.5    94.6  _ Across the lane with the scoop
  19   $0013   1      123.5   141.6  _ Across the lane with the floating one-hander
  20   $0014   1       49.4    56.6  _ With the floater
  21   $0015   1       87.5   100.3  _ Fires it from long range
  22   $0016   1       70.3    80.6  _ Goes up high
  23   $0017   1       88.3   101.3  _ From way outside 1
  24   $0018   1       61.9    71.0  [A pass to X] Who takes off
  25   $0019   1       58.6    67.2   _ From long range 1
  26   $001a   1       61.1    70.1   _ From close range
  27   $001b   1       45.2    51.8   _ From 18
  28   $001c   1       33.9    38.9   _ Fires it
  29   $001d   1       51.1    58.6   _ Lets it fly 
 
NBA on NBC (c) 1998 Midway - ANNOUNCER - TAKE SHOT (03/24/99 16:37:24) page 2


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  30   $001e   1       51.9    59.5   _ From the baseline
  31   $001f   1       48.6    55.7   _ From the corner
  32   $0020   1      110.9   127.2   _ Lets it fly from downtown
  33   $0021   1       76.2    87.4   _ From way downtown 1
  34   $0022   1       95.0   109.0   _ from way downtown 2
  35   $0023   1       79.9    91.7   From way outside 2
  36   $0024   1       77.0    88.3   He just launched one
  37   $0025   1       57.8    66.2   A Hail Mary
  38   $0026   1       64.9    74.4   _ Lets one go
  39   $0027   1       57.8    66.2   _ From the top of the key 1
  40   $0028   1       67.0    76.8   _ From the free throw line
  41   $0029   1       67.0    76.8   _ From the top of the key 2
  42   $002a   1      110.1   126.2   _ Lets one go from downtown
  43   $002b   1       81.6    93.6   _ Launches the three
  44   $002c   1      108.4   124.3   And he just shucked that ball up there
  45   $002d   1       54.8    62.9  _ With the jumper
  46   $002e   1       79.1    90.7  A Wild shot 
  47   $002f   1       50.2    57.6  _ With the jumper
  48   $0030   1       49.8    57.1  _ In the lane
  49   $0031   1       36.0    41.3  _ Shoots
  50   $0032   1       65.7    75.4  _ Takes off from the foul line (shortened)
  51   $0033   1       49.0    56.2  _ Back up again
  52   $0034   1       51.1    58.6  _ Puts it back up
  53   $0035   1       47.3    54.2  _ Off the glass
  54   $0036   1       59.0    67.7  Crazy shot
  55   $0037   1       81.6    93.6  It could be ...
  56   $0038   1       83.7    96.0  This one has a chance ...
  57   $0039   1       70.3    80.6  The ball on its way ...
  58   $003a   1       58.6    67.2  It is ....
