NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: SCA_MISC.BNK

Size of .BNK file including header: 935132 bytes ($E44DC bytes)

Size of playlist table: 2332 bytes ($91C bytes)

Size of playlist and sound data only: 932666 bytes ($E3B3A bytes)

Checksum: $1906

Total number of playlists: 221 ($DD)

Total number of sound files: 221 ($DD)

Average bit rate for bank: 25.1 kbits/sec

Total linear amount of sound: 4:55.542 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  4    $0004   1      105.9   121.4  Oh did he shake him or what ?

  6    $0006   1       83.3    95.5  He shook him out of his drawers
  7    $0007   1      107.6   123.4  That was a silky smooth move

  9    $0009   1       55.2    63.4  Beautiful move
  10   $000a   1       56.9    65.3  _ With the cross-over

  13   $000d   1       97.5   111.8  _ With a beautiful spin move
  14   $000e   1       41.0    47.0  _ Fakes left 
  15   $000f   1       39.3    45.1  _ Goes Right

  20   $0014   1       95.9   109.9  He just left him standing there
  21   $0015   1       83.7    96.0  _ Left him clueless

  23   $0017   1      100.0   114.7  _ Totally faked him out of his shoes

  27   $001b   1       62.4    71.5  Out of control

  37   $0025   1       49.8    57.1  _ With the steal
  38   $0026   1       46.9    53.8  He steals it
  39   $0027   1       64.0    73.4  Has it stolen from him

  41   $0029   1       61.5    70.6  He lost the ball
  42   $002a   1       65.7    75.4  Awesome defense

  44   $002c   1       44.8    51.4  He blocks it

  47   $002f   1       70.7    81.1  Oh rejected
 
NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 2


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  48   $0030   1       67.8    77.8  The ball is deflected

  50   $0032   1       54.4    62.4  He stuffed him

  58   $003a   1       93.3   107.0  He should never have been taking that shot
  59   $003b   1       81.2    93.1  He probably should have passed

  61   $003d   1      102.1   117.1  Oh did he block that shot !

  67   $0043   1       81.6    93.6  And he swats it away

  69   $0045   1       70.7    81.1  That-s a solid block

  72   $0048   1       97.1   111.4  Wham bam look at that block

  77   $004d   1      115.5   132.5  And that was a bigtime block #2

  87   $0057   1      106.3   121.9  _ With the alley-oop to himself (off the backboard)

  130  $0082   1       90.8   104.2  He just got it off in time

  137  $0089   1       87.1    99.8  And this game is on the line

  143  $008f   1       67.0    76.8  Let-s see that one again
  144  $0090   1       97.9   112.3  That was one for the highlight reel
  145  $0091   1       95.4   109.4  And we gotta see that one again

  149  $0095   1       85.4    97.9  I want to see the replay on that one

  164  $00a4   1       97.5   111.8  He goes left - NO he goes right

  167  $00a7   1       69.9    80.2  Quick as lightning

  169  $00a9   1       82.9    95.0  With the hesitation move
  170  $00aa   1       82.5    94.6  And now he spins right by him

  172  $00ac   1       95.0   109.0  They are really banging away in there

  175  $00af   1       68.6    78.7  He clears his man out

  178  $00b2   1       62.4    71.5  And he frees himself

  194  $00c2   1       41.0    47.0  Stolen 

  203  $00cb   1       39.3    45.1  _ Versus _
  204  $00cc   1       23.9    27.4  _ Host _ (equal to versus - home team hosts visitor)

  208  $00d0   1       87.5   100.3  And the player of the game __ (attach name)

  211  $00d3   1       80.4    92.2  And its all over but the shouting

  215  $00d7   1       69.1    79.2  That should just about do it
 
NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 3


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  216  $00d8   1      138.1   158.4  Now they-ve got to find some way to get back into this game
  217  $00d9   1       88.3   101.3  They need to get something going here

  240  $00f0   1       86.2    98.9  Oh errant pass

  245  $00f5   1       60.7    69.6  _ Comes away with the rebound
  246  $00f6   1       95.4   109.4  And he comes away with the ball

  249  $00f9   1       62.8    72.0  And he grabs the ball
  250  $00fa   1       93.8   107.5  _ Goes up high for the rebound
  251  $00fb   1       58.6    67.2  _ Pulls down the board
  252  $00fc   1       55.2    63.4  He hauls it in

  256  $0100   1       79.5    91.2  And he had great position (rebound)

  264  $0108   1      107.2   122.9  And theres ANOTHER offensive rebound

  268  $010c   1      118.0   135.4  This is the matchup everyones been waiting for
  269  $010d   1      144.8   166.1  And we have got a great matchup for you today

  271  $010f   1       37.7    43.2  Heres the tip
  272  $0110   1      111.8   128.2  And this game is underway
  273  $0111   1      106.3   121.9  And it is Showtime here

  278  $0116   1      117.2   134.4  They are taking no prisoners in this one

  281  $0119   1       57.8    66.2  That was brutal
  282  $011a   1      103.4   118.6  And his head is just not in this game
  283  $011b   1       61.5    70.6  Rejected
  284  $011c   1      143.6   164.6  Oh the dejection of the rejection

  286  $011e   1       81.6    93.6  There is one minute left
  287  $011f   1      102.5   117.6  One minute left in regulation
  288  $0120   1       90.0   103.2  And they are right back in it
  289  $0121   1       85.0    97.4  The momentum has shifted
  290  $0122   1       66.6    76.3  Dont count em out yet
  291  $0123   1       74.1    85.0  Anything can happen
  292  $0124   1       85.4    97.9  They could not have scripted this better
  293  $0125   1      118.9   136.3  And its all starting to unravel now

  295  $0127   1       83.3    95.5  With 30 seconds to go

  297  $0129   1       52.3    60.0  And its tied up

  300  $012c   1       83.7    96.0  Theyre still right in the thick of it
  301  $012d   1       61.5    70.6  And thats gonna do it
  302  $012e   1       79.1    90.7  What a turn of events
  303  $012f   1      117.6   134.9  Everything is riding on this one possession

  306  $0132   1      103.8   119.0  And now its all even folks
  307  $0133   1       74.1    85.0  It is all tied up
  308  $0134   1       97.9   112.3  It all comes down to this play
 
NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 4


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  309  $0135   1      114.3   131.0  That was the straw that broke the camels back

  311  $0137   1      127.2   145.9  And he just put the nail in the coffin
  312  $0138   1      159.9   183.4  That was one of the most incredible comebacks Ive ever seen
  313  $0139   1       90.8   104.2  That was totally unexpected
  314  $013a   1       71.2    81.6  We thought this thing was over
  315  $013b   1       96.7   110.9  Hold on folks we got a game here
  316  $013c   1      145.2   166.6  And they have come away with an impressive victory

  320  $0140   1      117.2   134.4  This was a flat out knockout
  321  $0141   1       90.0   103.2  And we are going to go to Overtime
